title,jobdesc,code,matched_title
Nursing,"ABOUT By the very nature of their duties, Navy Nurses quickly rise to the top of their profession. They provide care, not only for military servicemembers and their families, but also for people in need around the globe.Working with a team of talented colleagues united by a common mission, Navy Nurses have the opportunity to educate, lead and shape policy within Navy Health Care. They also:Apply leading-edge medical advances at world-class hospitals Utilize some of the most advanced technology on the planet, such as Radio Frequency Identification (RFID), which can lead to less paperwork and more meaningful patient care Work at the best military nursing facilities on shore, at sea and in the field RESPONSIBILITIES As an active duty Navy Nurse, you'll provide high-quality nursing care, doing everything a typical nurse would do in a variety of settings:Military treatment facilities (in the U.S. and overseas) Austere environments (i.e. deployments, humanitarian aid missions) Onboard ships (aircraft carriers, hospital ships) Nursing in an austere environment could mean taking part in humanitarian relief efforts, such as administering infant vaccinations in developing countries, or providing emergency care to victims of a natural disaster. Navy Nurses collaborate with physicians, surgeons, cardiologists and fellow nurses as colleagues and equals. Navy Nursing provides opportunities to develop leadership skills that will set you apart.WORK ENVIRONMENT Active Duty Navy Nurses may serve at any one of more than 250 Navy and medical facilities around the globe, from Hawaii to Japan, Germany to Guam, and Washington, D.C., to Washington state.As a Navy Nurse, you could work at one of the highly acclaimed National Naval Medical Centers in Bethesda, Md.; Portsmouth, Va.; and San Diego, Calif. Or you could provide medical support aboard one of two dedicated hospital ships: the USNS Comfort and USNS Mercy.More opportunities are available stateside and abroad - aboard a surface ship, working closely with a nearby aircraft squadron, or even with the Fleet Marine Force.TRAINING & ADVANCEMENT Upon commissioning, Navy Nurses are required to attend Officer Development School (ODS) in Newport, R.I. ODS is a five-week program that provides a comprehensive and intense introduction to the responsibilities of Navy Staff Corps Officers. They will learn about the military structure of the U.S. Navy, its rich history of traditions and customs, leadership development and military etiquette.Promotion opportunities are regularly available, but are competitive and based on performance.EDUCATION OPPORTUNITIES High School Students Through a Naval Reserve Officers Training Corps (NROTC) Nurse Option scholarship, the Navy can cover the full cost - up to $180,000 - of your nursing education at some of the best colleges and universities in the country.As a student, you can concentrate on your education or training with no military/training obligation until after your program is completed.Offers have many variables. To get details and find out which offer would benefit you most, request that a Navy Recruiter contact you.Nursing Students With the Nurse Candidate Program (NCP), you can get an initial grant of $10,000, plus a stipend of $1,000 per month for up to 24 months. That's up to $34,000 to help pay your way through nursing school.Offers have many variables. To get details and find out which offer would benefit you most, request that a Navy Recruiter contact you.QUALIFICATIONS & REQUIREMENTS To qualify for employment consideration in the Navy Nurse Corps, you must:Be a U.S. citizen currently practicing in the U.S. Be a student or graduate in good standing of a U.S. education program granting a bachelor of science degree and accredited by the Commission on Collegiate Nursing Education (CCNE) Be licensed to practice in a U.S. state, the District of Columbia, the Commonwealth of Puerto Rico or a U.S. territory (new graduates from NROTC or NCP must obtain a license within one year of beginning Active Duty service) Be willing to serve a minimum of three years of Active Duty Be between the ages of 18 and 41 Be in good physical condition and pass a full medical examination General qualifications may vary depending upon whether you intend to serve Active Duty or Reserve Duty, and whether you are currently serving, have served before or have never served before.",11-1011.00,Nursing
Assistant Store Manager,"Assistant Store Manager Come check out the opportunities at K&G Fashion Superstore, where we strive to provide opportunities for growth, recognition and work-life balance.  For over 25 years, K&G Fashion Superstore has provided value-conscious customers with easy access to a wide selection of brand name and designer apparel, footwear and accessories discounted up to 60% off department store prices.   If you love getting a great deal on fashion then the only thing better is working for K&G Fashion Superstore.  Come join the team!  Your contribution to success focuses on collaboratively working with the Store Manager to drive sales while ensuring a one of a kind customer service experience and operational excellence.  These key job functions are achieved by….Driving sales and increasing the store’s sales productivityScheduling store personnel accordingly to maximize sales coverage and provide outstanding customer service within budgeted guidelines and adhering to store hoursEnsuring store schedules are followed to maintain adequate store coverage and customer service levelsEnsuring proper completion of assigned daily goals, tasks and assignments by employees Managing the maintenance and day to day operations by controlling payroll, inventory, and expenses and keeping accurate time card and attendance recordsMaintaining all merchandising and signing standards and display presentations and monitoring inventory control. Managing and controlling shrink within the Company’s acceptable levelAssisting with proactively recruiting, sourcing, interviewing and hiring, training, and developing employees Providing a work environment where your teammates feel their opinions and contributions matter What do you need…Prior retail sales or equivalent experienceDemonstrate effective interpersonal, organizational, customer service and leadership skillsPossess the capacities to coach, motivate and train a store teamAbility to move and handle merchandise weighing 0-50 pounds, climb ladders, walk, stand, kneel, and lift during the majority of work shiftUse of hands and fingers to handle/feel objects or tools and reach with hand and armsAbility to work a flexible schedule including nights, weekends and holidaysHigh school diploma or education/experience equivalent#LI-FE1 ",11-1021.00,Store Manager
Registered Nurse – 5 South Telemetry - Full-Time 12 Hour Days,"As an integral member of the patient care team, the Registered Nurse supports the Chief Nursing Officer in leading the patient care team in providing for the safety, recovery and comfort of patients by implementing the nursing process (assessment, nursing diagnosis, developing the plan of care and the education plan; implementation of interventions, evaluation of interventions and revision of plan as needed); and provides education and advocacy. Practices in compliance with regulatory requirements including CMS Conditions of Participation, Title 22, CDPH regulations, DNV-GL/NIAHO standards, etc.The Registered Nurse supports department manager and director in quality improvement and growth of unit services; leadership in collaboration with co-workers and other departments; management of efficient services with meaningful and valuable outcomes.Decision-making authority:Patient care within the scope of practicePatient acuity based on patient classification decision-making methodRNs are expected to practice to the full extent of his/her legal scope of practice based on education, training and competency. RNs are expected to make judgments and decisions about patient care and to act on the assessments performed.RNs are accountable for providing a healing environment for recovery and safe passage of patients through their episode of care in the hospital; for prevention of harm; for educating the patient about their condition and implementation of self-care actions; of educating about abnormal findings and when and how to report to their care-giver; for providing comfort and compassionate careExecutive FunctionsPlanning:Assists charge nurse with planning delivery of patient care for the shift;Contributes to overall unit planning and improvementDirecting:Precepting and competency validating new hires and to new proceduresTeaching nursing studentsDelegating:As indicated to other RNs, LVNs, CNAsCoordinating:Assigned teamCommunicatingExpectations to assigned staff (interventions; report back; etc.)Improvement opportunities; information through chain of command; unusual events;Other duties as assigned.Minimum Education:Graduation from Registered Nurse ProgramBSN desired (if not upon hire, will obtain within 5 years preferred) Minimum Experience/Knowledge: 1 year clinical experience (except new graduate RN) in an acute care setting preferred.If applicable - experience in treating ortho and stoke patient population preferred. For 6th Floor Med/Surg and Transitional Care Unit Employees:•Two years’ experience with Orthopedic and Medical-Surgical nursing preferred•Certification in Medical-Surgical, Orthopedic or other specialty preferredRequired License/Certification:California Registered Nurse LicenseCertification in clinical specialty or management desired •Surgery: BLS, ACLS•PACU/SDS/ GI Lab: BLS, ACLS, PALS•ED: BLS, ACLS, PALS, AB508 (within 30 days of hire), NIHSS (within 30 days of hire), NRP (within 6 months of hire), ENPC (within 12 months of hire),•L&D/Post-Partum: BLS, ACLS, NRP •NICU: BLS, PALS, NRP•Nursery: BLS, NRP•Geropsych: BLS, AB508 (within 30 days of hire)•ICU/ 5S and 4th Telemetry: BLS, ACLS, NIHSS (within 30 days of hire)•6th Med Surg: BLS, ACLS•TCU: BLS BLS, ACLS, PALS, and NRP must be AHA certified. All certifications must be active effective date of hire/transfer unless otherwise indicated. As part of Keck Medicine of USC, USC Verdugo Hills Hospital is the only community hospital in the Foothills area of Los Angeles backed by an academic medical center. With its 40-year legacy of personalized care from expert physicians, experience nurses and a dedicated staff the community has come to know and trust, USC–VHH brings patients the latest medical advancements and 24/7 emergency services. Join this world-class team providing highly-specialized care, up-to-the-minute research and innovative clinical trials.",25-2021.00,Grades One Through 6 Visiting Teacher
Natural Resources Senior Project Manager,"What You'll DoAs a Natural Resources Senior Project Manager, you have strong leadership skills as well as a great eye for detail. You are heavily skilled both out in the field and working with clients. Leading your team by example is second nature to you – through excellent assessments, studies and reports. You have a passion for all things environmental – principals, applications, permitting processes, regulations and test methods. You are extremely hard working and strive to ensure that your team delivers the best quality. You get the “big” picture and want to contribute accordingly – and that’s why you’ll have all the opportunity for career growth within our company you’ll want. For highlights of others who have taken their amazing skills and grown their careers with ECS. You will be part of a dynamic, growing, and energized team - and your role is key to the success of ECS. While your job duties may fluctuate day to day, here are some areas we expect to see you proficient in:Conducting and managing wetland and natural resource projectsFederal [USACE] and State wetlands regulations and guidelinesPerforming wetland delineations and documentationUnderstanding the regulatory/permitting processPerforming stream assessments and studiesProject management, proposal generation and preparation, business development, and managing client relationshipsWant to experience what all this job really entails? Click What We're Looking ForBS or MS in Geology or a discipline related to Environmental Science7+ years of Geology, Environmental Engineering or related experienceProfessional Geologist (PG) or Professional Engineer (PE) license would go a long way Who We AreFounded in 1988, Engineering Consulting Services (ECS) is a leader in geotechnical, construction materials, environmental, and facilities engineering. ECS is currently ranked 68 in Engineering News-Record’s Top 500 Design Firms (ENR, April 2021) and 152 in Engineering News-Record’s Top 200 Environmental Firms (ENR, July 2021). We love our employees and we show this through providing some great benefits, including paid time off, health and other insurance plans, retirement and college savings plans, and more. Click to learn more about the great benefits at ECS. Equal Opportunity Employer/Protected Veterans/Individuals with DisabilitiesThe contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.",11-9121.00,Natural Resources Manager
Territory Sales Representative,"Territory Sales Representative *Bachelor’s Degree required to be considered, no exceptions*Our client is dominating their market and pulling in over $1.5B in gross revenue annually. They are nationally recognized for their outside sales training program, great team culture, and were recently listed on Inc. Magazine's Best Workplaces! They're looking for an ambitious individual looking to develop their sales career to join their growing team in Chicago!This outside B2B sales role is a unique opportunity that allows you to jump into an account executive role from the beginning! With great training and sales foundations, you will focus on best practices for new business acquisition, learn how to manage a territory and book of business, and progress your career forward with continuing education and promotions!You Should Be:A People Person: Ability to connect and make relationships with people easily!Competitive/Driven: Looking to drive yourself to your full potential and make a lot of $$$ while doing so!Ambitious/ Curious: Open to learning and progressing in your sales career and not settling for stagnation!Responsibilities:Generating new business through prospecting over the phone and in a territoryDevelop relationships with new companies, meet with decision-makers to present solutions, and negotiate and close deals!Account implementation and managementDevelop a sales territory in a protected marketCompensation:$45-50K base salary + uncapped commission = $70-75K+ realistic first year earnings$400/month allowance provided for car/cellCommissions and Residual Commissions offer unlimited money potential and growth opportunity based on performanceFull Medical benefits and 401KCash bonuses, company trips and more!Requirements:Bachelor’s degree required to be considered6 months to 5 years B2B sales experienceGreat communication skillsIntelligence, enthusiasm, and passion for successTeam player with a competitive attitude",41-2031.00,Sales Representative
Administrative Assistant / Onboarding Specialist,"Job DescriptionFull time. Benefits. Exceptional Company Culture.Alliance Industrial Solutions is looking for an energetic and passionate team player to provide support to our recruiting team at our branch in Streetsboro. We offer awesome benefits and a team that cares about your success. If you have clerical skills and are thinking about recruiting as a career, this would be a great stepping stone.Alliance Industrial Solutions is an award winning staffing company that specializes in manufacturing and logistics recruiting.You would be working with: allianceindustrial.jobsSupported by: mytalentlaunch.com17.00 per hour + full benefits packageHeres the job in a nutshell:As an Administrative Assistant/ Onboarding Specialist you will be the initial point of contact for all candidatesProvide clerical support for 2 Recruiters &amp; 1 Account Manager (Did I mention that its a small branch?!)Assist candidates with the pre-employment screening processAnswer questions and issues with regard to pre and post employmentCoordinate interview schedules with our talented recruitersAnswer phone calls and monitor emailsRequirementsWho we are looking for:Someone who would love to learn the recruiting industrySomeone who is approachable with a preference for detailed, skill-based workHigh school graduate or GED equivalentOne year of previous office experience or College course workPrevious experience as an Administrative Assistant or Onboarding Specialist preferredAbility to communicate in an open, helpful and engaging mannerExcellent PC skills, Experience with Word and Outlook. Excel would be a bonusAbility to handle a consistent workload in fast-paced environmentA patient and cooperative team playerBenefitsOngoing training and development401(k), Medical, dental and vision coverageCareer advancement opportunitiesFun, Collaborative and Competitive environmentUnlimited time off. (You decide when and how much time to take)Alliance Industrial Solutions is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",43-4031.00,Administrative Specialist
Scientific Writing and Communications Manager,"Job location: Seattle, WA Employment Type: Full-time Posted data: 2022-02-25 Req: R-4190 Title:1518-NN - Scientific WriterBusiness Title:Scientific Writing and Communications ManagerAdditional Titles: Location:MET PARKEmployee Type:Admin. Professional (+) (Fixed Term)Job Family:Administrative Professional - Not OT EligiblePosition Details:COVID-19 Vaccination Information: In accordance with Washington State Governor&#39;s Proclamation 21.14.2, as a condition of employment, you must be fully vaccinated or have an approved medical/religious accommodation by time of hire. People are considered fully vaccinated two weeks after receiving their last shot in a vaccine series. Full Vaccination or an approved accommodation will be verified prior to your first day of work. Should you not be fully vaccinated or have an approved medical/religious accommodation you will not be able to start employment with WSU. Information regarding vaccine verification and/or requesting a medical/religious accommodation is available at https://hrs.wsu.edu/covid-19/vax-verification/. Please contact HRS at hrs&#64;wsu.edu or 509-335-4521 if you have questions.Summary of Duties:This position has primary responsibility and oversight for the creation, review, and dissemination of the Institute’s research-related content. The Scientific Writing and Communications Manager has substantial responsibility for independently writing or revising manuscripts for peer review; reviewing and revising materials produced for ongoing research studies; creating or reviewing news items and other content for posting on the Initiative’s Web sites.  The Scientific Writing and Communications Manager has responsibility for managing the Initiative’s writing processes for grant applications. This position writes full grant applications as well as components of applications (e.g., bibliographies, biosketches, budget justification, etc.) In all cases, this position will be responsible for editorial review of final research plans and proposals before submission to funding organizations.  In consultation with the Initiative’s Director, this position will develop and implement a comprehensive annual communication strategy and annual work plan to support the Initiative’s priorities. It will establish, review, and maintain guidelines for all written and visual content developed or disseminated by the Initiative, including grant proposals and outreach materials, and will train and supervise staff in applying these guidelines.Scientific Writing and Editing - 55%Utilizes expertise in the Initiative’s scientific research subject matter areas to write and develop significant portions of grant applications. Writes narrative portions of grant applications from the first draft to the finished product following established stylistic parameters. Conducts in-depth research on topics needed for a successful grant submission. Compiles data and accesses Initiative data as needed to write and produce grant applications. Collaborates with PI’s as needed to review documents or add additional resources for the finished product. Reviews and revises grant applications and conducts literature research on factual content included in applications. Writes and submits the final product. Has the delegated editorial authority to approve the final product for production. Drafts and finalizes funding applications or components of funding applications in collaboration with faculty and research staff. Writes or edits new scientific content (e.g., manuscripts for peer-reviewed publication), leads or collaborates with a group of authors on the development of content from inception through publication. Maintains communication and coordinates efforts with other Initiative faculty and staff during content development phases. Consult with principal investigators to determine where manuscripts should be submitted for publication. Create, maintain, manage, and collaborate on reference libraries using bibliographic software (e.g., EndNote). Create and edit bibliographies for grants and scientific manuscripts.Communications and Publicity - 30%Creates, edits, and tailors content required for dissemination of health research findings and health education to priority communities, including ethnic minority, rural, and low-income groups. Manages content dissemination in various media, including print, electronic, and visual, and will be used in a broad range of contexts, including community and other public presentations. Provides high-level quality control over content across multiple communications platforms. Serves as primary writer, editor, and graphic designer for press releases, brochures, newsletters, websites, social media, digital communications and other media channels.Develops and maintains IREACH’s visual assets and brand (e.g., logos, slide templates, website design). Analyzes and evaluates ways in which information is presented to communities of interest and utilizes appropriate modalities for dissemination.Oversees the maintenance of IREACH and research study websites, ensures content is current, with special consideration for the relevance of this content to various constituencies (e.g., researchers, community members, students). Collaborates with principal investigators and outreach staff to prepare curricula and other educational or instructional materials. Develops in consultation with the IREACH Director and Co-Director the annual communication plan, which includes specific educational and outreach activities.Training Programs and Documentation Coordination - 10%Coordinates the work of administrative staff and faculty, ensures that content meets quality standards and trains staff as appropriate in necessary skills. Oversees and provides training and coaching for faculty and administrative staff in copy editing, document formatting, and the use of bibliographic and graphics software. Develops, reviews, and maintains guidelines for IREACH to guide written and visual content for dissemination, and trains administrative staff in applying these guidelines to a wide range of materials to ensure consistency with Initiative goals. Collaborates with faculty and staff to ensure continuity of writing style among different writers is maintained. Utilizes expert-level knowledge of research subject matter when writing for the audience. Collaborates with faculty and staff to ensure information is being written at the correct technical level for the intended audience. Other Duties as Assigned - 5%Required Qualifications:Bachelor’s degree in a technical writing, communication, or other relevant field AND a minimum of two (2) years of professional writing experience in the scientific, life, health, or social science fields. A Master’s degree in a related field may be substituted for up to one (1) year of the required experience. Education and experience can be tailored to fit the specific needs of the position.Additional Requirements:Exceptional writing and editing skills, for both lay and scientific audiences. Three years of editing experience in scientific or technical fields.Experience in graphic design and relevant imaging and publication software, such as Adobe Illustrator, Adobe Photoshop, Microsoft Visio, or Microsoft Publisher.Proficiency in WordPress or comparable web editing software. Experience with newsletter management programs (e.g., Constant Contact) and bibliographic software (e.g., EndNote). Preferred Qualifications:Master’s degree or higher in a scientific field with a focus on writing and communication or in English/Communications with a focus on scientific/technical communicationsExperience writing and editing health sciences-related publications.Experience overseeing the written communications products of others and providing coaching when appropriate. Experience preparing and submitting formal applications for research funding.Experience working with limited English-proficient authors.Undergraduate or graduate training in public health, anthropology, or other social sciences. Experience preparing curricula.Additional Information:Area/College: Washington State University Spokane Health SciencesDepartment Name: Institute for Research and Education to Advance Community Health (IREACH)City, State, Zip: Seattle, WA 98101Department Link: IREACHFTE: 100%Permanent/Temporary/Project: TemporaryTemporary End Date: This is a temporary position expected to end 1 year after the start date. Renewal is dependent on the need for extension and/or if additional funding is secured to extend employment.Screening Begin Date: February 1, 2022; open until filledBackground Check: This position has been designated by the department to require a background check.Application Instructions: Applicants must attach the following documents to their online application: 1) resume, 2) cover letter, and 3) a professional writing sample that demonstrates your science writing experience for both (1) a technical audience and (2) a lay audience. Application materials should clearly communicate how the applicant meets all required qualifications and additional requirements. Applicants are required to include contact information for professional references.Please submit the writing sample within the cover letter section.   Required Documents:1. Resume2. Cover Letter3. Professional writing sample that demonstrates your science writing experience for both (1) a technical audience and (2) a lay audience (Please submit the writing sample within the cover letter section.)Time Type:Full timePosition Term:12 MonthWASHINGTON STATE UNIVERSITY IS AN EQUAL OPPORTUNITY/AFFIRMATIVE ACTION EDUCATOR AND EMPLOYER. Members of ethnic minorities, women, special disabled veterans, veterans of the Vietnam-era, recently separated veterans, and other protected veteran, persons of disability and/or persons age 40 and over are encouraged to apply.WSU employs only U.S. citizens and lawfully authorized non-U.S. citizens. All new employees must show employment eligibility verification as required by the U.S. Citizenship and Immigration Services.WSU is committed to providing access and reasonable accommodation in its services, programs, activities, education and employment for individuals with disabilities. To request disability accommodation in the application process, contact Human Resource Services: 509-335-4521 (v), Washington State TDD Relay Service: Voice Callers: 1-800-833-6384; TDD Callers: 1-800-833-6388, 509-335-1259(f), or hrs&#64;wsu.edu.",11-3131.00,Education and Development Manager
Staff Medical Surgical Registered Nurse,"Job DescriptionAccess This Exclusive Staff Medical Surgical Registered Nurse Job in Eden, North CarolinaWe have an immediate opening for a Staff Medical Surgical Registered Nurse at a top healthcare facility in Eden, North Carolina. Make up to $44.00/hour. (This info is approximate. To view complete pay and facility information, please log in to Aya or register with us now.)Why find a staff job with Aya?We&rsquo;ll get you in the door faster than if you search and submit for nursing jobs on your own. Let us streamline the process and work on your behalf! We work directly with facility hiring managers, ensuring they review your resume and quickly schedule an interview.Whether you have your eye set on a specific facility, you&rsquo;re a traveler who found a place to call home, you want to start a new job quickly or you need a little guidance in your search, we can help.Register today for more information about this job. Additionally, a recruiter will contact you to discuss your career goals and find you a staff opportunity that matches your skills and desired location.",29-1141.00,Surgical Registered Nurse
Internships at DotDash are coming - find out more here!,"**It’s simple, we help people.**We’re DotDash and our mission is to help people find answers, solve problems, and get inspired.  You may have heard of some of our many brands like **The Spruce**, **Serious Eats**, **Byrdie**, and **Investopedia**. We’re also among the largest and fastest-growing publishers online and have won over 50 awards in the last year alone, including Digiday's 2020 Publisher of the Year.This fall, we’ll start recruiting for our Internship programs. We’re looking for bright, engaged, creative, and fun people who are looking to be part of our inspiring team! When you join DotDash as an intern, you’ll join a program that consists of hands-on learning, and opportunities to create work that has a direct impact on the business. We also provide workshops to prepare you for post-college life plus some fun events throughout the duration of the internship!If this sounds like something you’re interested in, please submit your interest! This lets us know that you want to work with us at DotDash and to contact you as soon as our internship programs start accepting applications.",17-3023.00,I and C Technician (Instrument and Controls Technician)
Client Solutions Manager,"Client Solutions Manager  We re currently looking for fast, growth-minded individuals who want to help revolutionize the logistics industry and play an integral role in a thriving startup environment.   The Client Solutions Manager is responsible for understanding and solving our customers real business needs by helping them realize our complete product solutions. The Client Solutions Manager will also provide feedback to further improve our technology through an active customer engagement process.   Responsibilities:    Actively manage and grow pre-existing accounts in a unique territory and potentially any new accounts/referrals generated   Understand each account s resources, capacity, and profitability to assist Management in proper forecasting   Analyze and build a Key Account Manager Growth Chart to assess and track each account s performance   Conduct Quarterly Business Reviews (QBR) and on-site visits to clients   Maintain activities on 100% account retention   Minimal or up to 15% travel  Skills & Experience:    At least 2 years of experience in customer success, client solutions, operations management, account management, account executive or business development within a freight brokerage (inland), or transportation, carrier, 3PL company   Has managed at least $15M in Truckload/FTL total business for multiple accounts   Has performed Quarterly Business Reviews (QBR or similar) with clients   Ability to understand and interpret customer needs, and build relationships   Ability to work in a fast-paced, team environment   Technology-savvy and organized   Bachelor's degree preferred  Zuum Offers:    Competitive base and quarterly bonus   Paid customer-related travel & expenses   Benefits package = 100% employee medical coverage   50% on dental, vision for employee and dependents, 401(k)   2 weeks PTO + 2 floating holidays or holiday exchange PTO   6 paid holidays   Free gym access   Eligibility for 50% off of UCI Division of Continuing Education classes   An unparalleled culture of diversity and inclusion - all while having fun & games!  Zuum Transportation, Inc. is a rapidly growing, tech startup which is transforming the $1.2 trillion logistics industry. Zuum connects enterprise shippers to carriers on an automated platform.   Zuum Transportation Inc. is an Equal Opportunity Employer.",13-1011.00,Talent Solutions Manager
PBX Operator,"PBX Operator(Job Number:01356-15601)DescriptionCommunications Operator Communications Department Full Time, Night Shift, 1.0 FTE Kendall Regional Medical Center Miami, FL Facility Description: Kendall Regional Medical Center is a 417-bed, full-service, acute hospital providing 24-hour comprehensive care in the community including trauma, burn, surgical, women’s and children’s services, behavioral health and diagnostic services, along with two full service free-standing ER facilities, one in Doral and the other at The Palms Town & Country. Located in west Miami-Dade County, Kendall Regional Medical Center has received the Distinguished Hospital Award for Overall Clinical Excellence from HealthGrades. This national recognition places us in the top 5% of hospitals in the nation for overall clinical quality. We are a Level I Adult and Pediatric Trauma Center certified by the Florida Department of Health and verified as a Level I Adult Trauma Center by the American College of Surgeons. Kendall is certified as a Thrombectomy-Capable Stroke Center by the Joint Commission and we are one out of only five American Burn Association verified Burn Centers in the state. With six ACGME accredited Graduate Medical Education programs Kendall strives to be a leading community-based research hospital. Why not join our team at Kendall Regional Medical Center where you will experience a dynamic career with a hospital that continues to reward clinical professionals for their commitment and provide growth opportunities while encouraging you to enjoy a healthy lifestyle outside of work in a culturally diverse and friendly community? Benefits: We are committed to providing our employees with the support they need. At Kendall Regional Medical Center, we offer an array of medical, dental, and vision packages as well as several add-on perks to make your benefits package truly customizable to you and your family needs. Some of our unique benefits we offer include: Student Loan Repayment* Tuition Reimbursement/Assistance Programs* Paid Personal Leave 401k (100% annual match – 3% to 9% of pay based on years of service) Identity Theft Protection discounts Auto, Home, and Life Insurance options Adoption Assistance Employee Stock Purchase Program (ESPP)* *If applicable, please refer to the CBA or the local HR office to confirm if this benefit applies to your position. Job Description:To professionally and efficiently answer and connect all calls to the areas requested. To assist all incoming callers in a professional manner while assisting in the daily operations of the Telecommunications Department.Qualifications High school diploma or equivalent required. Switchboard training required. Minimum one-year experience in hospital telecommunications. Computer skills required. Ability to communicate with business, staff and patients in a professional manner. Ability to relay information accurately.",43-2011.00,PBX Operator
Amazon DSP Driver - Starting at $17.50/hr,"Amazon Delivery Service Partners (DSPs) are looking for delivery associates (drivers) to help deliver packages to customers. DSPs are independent businesses that partner with Amazon to deliver packages. They offer competitive compensation, benefits, and opportunities for career growth.As a delivery associate, you will drive a DOT-regulated vehicle, stay active, work independently, and be part of a motivated team that safely delivers Amazon packages to customers in your community every day.Apply now to schedule your in-person interview and receive an on-the-spot job offer!Location: HCE2 - 23371 Aurora Road, Bedford Heights, OH Compensation:  At least $17.50/hour,* plus overtime and benefits  Shifts: Multiple shift options starting as early as 4:30amWhat You’ll DoDrive      a DOT-regulated vehicle delivering packages to your community with the      assistance of a ride-along HelperWork 4-5 days per week and up to 11 hours per day including breaks with shifts available seven days a weekLoad      and offload packages up to 500lbs from the truck with the assistance of a      ride-along HelperInteract with Amazon customers and the public in a      professional and positive manner in the form of a deluxe delivery service      across home furnishings, outdoor grills, and other large productsWhat You’ll NeedMust      be at least 21 years old and legally authorized to work in the USMust      have a valid driver's license Successful      completion of a DOT physical Follow a mapped delivery route, track and report working hours and breaks at appropriate times, adhere to all safety policies, obey all applicable traffic laws, and drive in accordance with all weather and conditions   Must      be able to maneuver boxes weighing between 50 and 500lbs. (team lift),      with or without reasonable accommodationWhy You'll Love Working for an Amazon Delivery Service Partner Many of our Delivery Service Partners offer great benefits – including healthcare, competitive pay, flexible schedules, and opportunities for career advancement – all in a safe and inclusive environment. Offerings are dependent upon the role, work schedule, or location, and can include the following:    Paid      Time Off (PTO)Competitive      wage plus overtimeOn-the-job      training and career growth opportunities, such as a Dispatcher or      Operations Manager rolesDOT      certificationHealthcareHoliday      pay opportunities Delivery Service Partners (DSPs) provide contracted delivery services to Amazon and are independent employers. Amazon works with DSPs when their applicants or employees require a reasonable accommodation that relates to Amazon’s tools, systems, or work areas and therefore necessitates Amazon’s input. For applicants with disabilities who may need an accommodation, please visit https://www.amazon.jobs/en/disability/us for more information. *Rates vary.",53-3099.00,Starting Gate Driver
